number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
87,0.45,2023-01-31 16:40:37.652332,2023-01-31 16:40:37.766577,0 days 00:00:00.114245,7,5300,9.000941190352547,1240,COMPLETE
88,0.45,2023-01-31 16:40:37.766789,2023-01-31 16:40:37.863496,0 days 00:00:00.096707,5,1700,12.0733589742083,322,COMPLETE
89,0.45,2023-01-31 16:40:37.863656,2023-01-31 16:40:37.968149,0 days 00:00:00.104493,15,4400,12.615036521457371,78,COMPLETE
90,0.45,2023-01-31 16:40:37.968370,2023-01-31 16:40:38.079275,0 days 00:00:00.110905,8,8500,11.474016723276005,542,COMPLETE
91,0.45,2023-01-31 16:40:38.079463,2023-01-31 16:40:38.193861,0 days 00:00:00.114398,13,600,13.201645098813627,648,COMPLETE
92,0.45,2023-01-31 16:40:38.194071,2023-01-31 16:40:38.300582,0 days 00:00:00.106511,14,2000,10.120031446183429,597,COMPLETE
93,0.45,2023-01-31 16:40:38.300772,2023-01-31 16:40:38.412063,0 days 00:00:00.111291,12,1200,11.572798204955507,928,COMPLETE
94,0.45,2023-01-31 16:40:38.412255,2023-01-31 16:40:38.517003,0 days 00:00:00.104748,11,2500,10.663848259920854,1439,COMPLETE
95,0.45,2023-01-31 16:40:38.517209,2023-01-31 16:40:38.620873,0 days 00:00:00.103664,6,3300,12.182094895493439,754,COMPLETE
96,0.45,2023-01-31 16:40:38.621052,2023-01-31 16:40:38.727805,0 days 00:00:00.106753,5,1400,11.132423400755716,287,COMPLETE
97,0.45,2023-01-31 16:40:38.728042,2023-01-31 16:40:38.841142,0 days 00:00:00.113100,13,700,14.94819389045616,709,COMPLETE
98,0.45,2023-01-31 16:40:38.841328,2023-01-31 16:40:38.940608,0 days 00:00:00.099280,10,2800,9.694415441110229,42,COMPLETE
99,0.45,2023-01-31 16:40:38.940828,2023-01-31 16:40:39.036562,0 days 00:00:00.095734,6,1000,13.745655654417194,228,COMPLETE
