number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
34,0.8332467532467532,2023-01-31 00:21:19.227341,2023-01-31 00:21:22.305165,0 days 00:00:03.077824,0.8173997847027707,0.9532395187074084,2,4200,1.978754190328857,9,543,0.41384038056170813,COMPLETE
35,0.8332467532467532,2023-01-31 00:21:22.305290,2023-01-31 00:21:25.200726,0 days 00:00:02.895436,0.745565242838715,0.7297168324015624,1,4900,4.552519655543685,6,88,0.9129099091815392,COMPLETE
36,0.8332467532467532,2023-01-31 00:21:25.200850,2023-01-31 00:21:27.903060,0 days 00:00:02.702210,0.6807723159871137,0.49843762835128114,4,3200,6.895491259708381,8,246,0.7433640927128533,COMPLETE
37,0.8332467532467532,2023-01-31 00:21:27.903176,2023-01-31 00:21:31.336004,0 days 00:00:03.432828,0.8273190125942234,0.8810491771422977,7,1300,6.120667644798166,10,452,0.286998503750517,COMPLETE
38,0.8332467532467532,2023-01-31 00:21:31.336152,2023-01-31 00:21:34.656502,0 days 00:00:03.320350,0.6078839129934699,0.4145319631610487,10,4200,8.168386672267918,30,604,0.6304520544145324,COMPLETE
39,0.8332467532467532,2023-01-31 00:21:34.656620,2023-01-31 00:21:38.084092,0 days 00:00:03.427472,0.5787366996595319,0.9967649476432342,2,7400,0.8432853106755056,13,207,0.6976947168399966,COMPLETE
40,0.8332467532467532,2023-01-31 00:21:38.084212,2023-01-31 00:21:40.860628,0 days 00:00:02.776416,0.9496243474274755,0.937770682672286,0,6800,5.412192138576146,6,88,0.8592401825093863,COMPLETE
41,0.8332467532467532,2023-01-31 00:21:40.860739,2023-01-31 00:21:44.502201,0 days 00:00:03.641462,0.8842408260607824,0.40888833955940007,6,300,3.950969687464958,20,636,0.9245352946509674,COMPLETE
42,0.8332467532467532,2023-01-31 00:21:44.502313,2023-01-31 00:21:47.778664,0 days 00:00:03.276351,0.9453283688663308,0.7664134482437477,3,800,7.055961993358097,18,523,0.9945608065550042,COMPLETE
43,0.8332467532467532,2023-01-31 00:21:47.778791,2023-01-31 00:21:51.262115,0 days 00:00:03.483324,0.7939137282865287,0.8320375993813304,8,1900,5.941724499040726,22,317,0.7586642522481616,COMPLETE
44,0.8332467532467532,2023-01-31 00:21:51.262244,2023-01-31 00:21:54.829886,0 days 00:00:03.567642,0.6757268159563956,0.6262845875873336,4,3000,4.902750063655746,26,405,0.8258188648076535,COMPLETE
45,0.8332467532467532,2023-01-31 00:21:54.830008,2023-01-31 00:21:58.160959,0 days 00:00:03.330951,0.8642301956227642,0.8118981837985437,6,1000,7.947267323536117,18,1378,0.8867563810312223,COMPLETE
46,0.8332467532467532,2023-01-31 00:21:58.161070,2023-01-31 00:22:01.614156,0 days 00:00:03.453086,0.7598195058211362,0.5367742540764966,10,3800,9.013840000757668,15,487,0.7716237415977633,COMPLETE
47,0.8332467532467532,2023-01-31 00:22:01.614274,2023-01-31 00:22:05.207653,0 days 00:00:03.593379,0.8333439660518303,0.7681023785770745,1,9400,14.23447485152029,26,678,0.7251611207532908,COMPLETE
48,0.8332467532467532,2023-01-31 00:22:05.207769,2023-01-31 00:22:08.348248,0 days 00:00:03.140479,0.7270686688975306,0.3249780837180171,2,7600,6.634224126514641,12,799,0.8091683556774414,COMPLETE
49,0.8332467532467532,2023-01-31 00:22:08.348370,2023-01-31 00:22:11.005669,0 days 00:00:02.657299,0.9500042738319617,0.661152354370169,8,2200,7.464174161859177,9,362,0.8433908523365353,COMPLETE
